question,expected_keyword
"Which plan is the cheapest on Dropbox?","Plus"
"Which Google Drive plan offers at least 2 TB of storage","2 TB"
"Does OneDrive have any plan that includes ransomware protection","ransomware"
"I want a cloud storage plan that costs under $5 per month","under $5"
"Are there any plans with more than 3 TB of storage","3 TB"
"Which plan can edit PDFs","PDF"
"Show me the most affordable annual plan on Box","annual"
"Is there a Dropbox plan which can edit PDFs for less than $20 per month","Dropbox"
"I need at least 1 TB of storage but my budget is below $15 monthly","1 TB"
"Which Google Drive plan over 1 TB includes AI features and costs less than $30 monthly","AI"
"Which OneDrive plan is the cheapest monthly option?","Microsoft 365"
"Which Google Drive plan offers 100 GB of storage?","100 GB"
"What is the highest storage plan available on Dropbox?","15 TB"
"Is there any Box plan that costs less than 8 dollars per month?","Individual"
"Which cloud provider offers a storage plan under 3 dollars per month?","2.79"
